,Moisture Content,Volatile Solids,Ash Content,Lower Heating Value,Lab Decay Rate,Bulk Density,Carbon Storage Factor,Biogenic Carbon Content,Ultimate Biogenic C Converted to Biogas,Fossil Carbon Content,Hydrogen Content,Oxygen Content,Nitrogen Content,Phosphorus Content,Potassium Content,Iron,Copper,Cadmium,Arsenic,Mercury,Selenium,Chromium,Lead,Zinc,Barium,Antimony,Nickel,Silver,Chlorine,Sulphur,Aluminum
Description,Moisture Content,Volatile Solids,Ash Content,Lower Heating Value,Lab Decay Rate,Bulk Density,Carbon Storage Factor,Biogenic Carbon Content,Ultimate Biogenic C Converted to Biogas,Fossil Carbon Content,Hydrogen Content,Oxygen Content,Nitrogen Content,Phosphorus Content,Potassium Content,Iron,Copper,Cadmium,Arsenic,Mercury,Selenium,Chromium,Lead,Zinc,Barium,Antimony,Nickel,Silver,Chlorine,Sulphur,Aluminum
Unit,%,%TS,%,MJ/dry kg,yr-1,kg/m3,kg C/dry Mg,% TS,,% TS,% TS,% TS,% TS,% TS,% TS,% TS,% TS,% TS,% TS,% TS,% TS,% TS,% TS,% TS,% TS,% TS,% TS,% TS,% TS,% TS,% TS
Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yard_Trimmings_Leaves,8.65,91.5,8.52,16,17.8,90,370,43.7,1.54E+01,0.00E+00,6.02E+00,3.96E+01,1.84E+00,1.98E-01,1.27E+00,1.48E-01,2.02E-03,3.57E-05,9.41E-05,2.62E-05,5.05E-07,4.51E-04,2.44E-03,2.08E-02,1.95E-04,,,0.00E+00,0.00E+00,3.13E-01,2.36E-01
Yard_Trimmings_Grass,70.1,93.4,6.65,16.5,31.1,250,239,44.8,4.65E+01,0.00E+00,6.00E+00,3.91E+01,3.31E+00,1.98E-01,1.27E+00,1.48E-01,2.02E-03,3.57E-05,9.41E-05,2.62E-05,5.05E-07,4.51E-04,2.44E-03,2.08E-02,1.95E-04,,,0.00E+00,0.00E+00,2.35E-01,2.36E-01
Yard_Trimmings_Branches,8.42,95.7,4.33,15.5,1.56,300,340,44.2,2.31E+01,0.00E+00,5.83E+00,4.34E+01,8.24E-01,1.98E-01,1.27E+00,1.48E-01,2.02E-03,3.57E-05,9.41E-05,2.62E-05,5.05E-07,4.51E-04,2.44E-03,2.08E-02,1.95E-04,,,0.00E+00,0.00E+00,4.64E-01,2.36E-01
Food_Waste_Vegetable,78.3,95.1,4.89,18.6,15,320,83.8,49.1,8.29E+01,0.00E+00,6.62E+00,3.76E+01,1.68E+00,2.31E-01,1.27E+00,3.10E-02,1.25E-03,9.46E-06,2.62E-05,2.00E-06,5.04E-07,5.24E-04,1.04E-04,2.50E-03,1.94E-04,,,0.00E+00,0.00E+00,2.00E-01,1.03E-01
Food_Waste_Non_Vegetable,70.6,94,6,18.9,15,320,145,48.4,7.00E+01,0.00E+00,6.70E+00,3.48E+01,2.94E+00,9.96E-01,5.33E-01,5.16E-03,6.09E-04,1.13E-05,6.67E-05,2.00E-06,5.04E-07,1.18E-04,7.00E-06,4.92E-03,1.94E-04,,,0.00E+00,8.60E-01,2.00E-01,2.89E-02
Wood,15.9,90.6,9.4,20.2,6.5,600,495,51.3,3.58E+00,7.73E-01,6.40E+00,3.05E+01,8.00E-01,2.74E-02,2.12E-01,9.45E-02,3.43E-03,3.41E-05,3.05E-05,2.13E-05,0.00E+00,3.41E-03,1.81E-03,4.36E-02,0.00E+00,,,0.00E+00,1.40E-01,8.36E-02,4.40E-01
Wood_Other,28.2,79.6,20.4,23.9,6.5,600,542,56.1,3.39E+00,0.00E+00,7.00E+00,1.40E+01,1.30E+00,2.74E-02,2.12E-01,9.45E-02,3.43E-03,3.41E-05,3.05E-05,2.13E-05,0.00E+00,3.41E-03,1.81E-03,4.36E-02,0.00E+00,,,0.00E+00,5.90E-01,6.60E-01,4.40E-01
